n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;plan_flops;
8;16384;16384;estimate;0.0148829;10.9322;1.27229e+10;
8;16384;16384;estimate;0.0158465;10.7862;1.27229e+10;
8;16384;16384;estimate;0.0148653;10.6845;1.27229e+10;
8;16384;16384;estimate;0.0157774;10.6963;1.27229e+10;
8;16384;16384;estimate;0.0149185;10.6226;1.27229e+10;
8;16384;16384;estimate;0.0152464;10.892;1.27229e+10;
8;16384;16384;estimate;0.0149181;10.5392;1.27229e+10;
8;16384;16384;estimate;0.0144776;10.5501;1.27229e+10;
8;16384;16384;estimate;0.0150631;10.6645;1.27229e+10;
8;16384;16384;estimate;0.0148037;10.7923;1.27229e+10;
8;16384;16384;estimate;0.0150836;10.6046;1.27229e+10;
8;16384;16384;estimate;0.0148277;10.6551;1.27229e+10;
8;16384;16384;estimate;0.0148677;10.6436;1.27229e+10;
8;16384;16384;estimate;0.0150106;10.6965;1.27229e+10;
16;16384;16384;estimate;0.0179893;5.72864;1.27229e+10;
16;16384;16384;estimate;0.0187635;5.69844;1.27229e+10;
16;16384;16384;estimate;0.018318;5.78822;1.27229e+10;
16;16384;16384;estimate;0.0184581;5.67123;1.27229e+10;
16;16384;16384;estimate;0.0183378;5.71617;1.27229e+10;
16;16384;16384;estimate;0.017936;5.70114;1.27229e+10;
16;16384;16384;estimate;0.0184059;5.69095;1.27229e+10;
16;16384;16384;estimate;0.0183387;5.78356;1.27229e+10;
16;16384;16384;estimate;0.0190293;5.72676;1.27229e+10;
16;16384;16384;estimate;0.0186304;5.73755;1.27229e+10;
16;16384;16384;estimate;0.0184072;5.66156;1.27229e+10;
16;16384;16384;estimate;0.0183517;5.80819;1.27229e+10;
16;16384;16384;estimate;0.0184902;5.79612;1.27229e+10;
16;16384;16384;estimate;0.0190635;5.84648;1.27229e+10;
16;16384;16384;estimate;0.0180767;5.74106;1.27229e+10;
16;16384;16384;estimate;0.0180732;5.79246;1.27229e+10;
16;16384;16384;estimate;0.018016;5.88319;1.27229e+10;
16;16384;16384;estimate;0.0183109;5.77347;1.27229e+10;
16;16384;16384;estimate;0.0185751;5.74519;1.27229e+10;
16;16384;16384;estimate;0.0182064;5.69306;1.27229e+10;
16;16384;16384;estimate;0.0183394;5.6479;1.27229e+10;
16;16384;16384;estimate;0.0186303;5.73992;1.27229e+10;
16;16384;16384;estimate;0.0195344;5.64562;1.27229e+10;
16;16384;16384;estimate;0.0183928;5.53273;1.27229e+10;
16;16384;16384;estimate;0.0179922;5.71852;1.27229e+10;
16;16384;16384;estimate;0.0183458;5.59028;1.27229e+10;
16;16384;16384;estimate;0.0184649;5.65008;1.27229e+10;
16;16384;16384;estimate;0.0180975;5.76445;1.27229e+10;
16;16384;16384;estimate;0.018638;5.65412;1.27229e+10;
16;16384;16384;estimate;0.0190254;5.73157;1.27229e+10;
16;16384;16384;estimate;0.018358;5.71933;1.27229e+10;
16;16384;16384;estimate;0.0179005;5.7294;1.27229e+10;
16;16384;16384;estimate;0.0184623;5.78134;1.27229e+10;
16;16384;16384;estimate;0.0183283;5.60457;1.27229e+10;
16;16384;16384;estimate;0.0180637;5.74003;1.27229e+10;
16;16384;16384;estimate;0.0183561;5.62658;1.27229e+10;
16;16384;16384;estimate;0.0183086;5.74867;1.27229e+10;
16;16384;16384;estimate;0.018321;5.76781;1.27229e+10;
16;16384;16384;estimate;0.018266;5.70518;1.27229e+10;
16;16384;16384;estimate;0.0184271;5.47216;1.27229e+10;
16;16384;16384;estimate;0.0183322;5.67545;1.27229e+10;
16;16384;16384;estimate;0.0184632;5.63026;1.27229e+10;
16;16384;16384;estimate;0.018307;5.82574;1.27229e+10;
16;16384;16384;estimate;0.0185663;5.93275;1.27229e+10;
