n_threads;n_x;n_y;plan;run_flag;total;initialization;fft_2d_total;first_fftw;first_trans;second_fftw;second_trans;plan_time;plan_flops;
2;16384;16384;estimate;par;44.3314;2.05952;42.2718;6.34725;14.4727;7.42544;14.0264;0.00920993;1.94665e+10;
2;16384;16384;estimate;par;44.5577;2.11461;42.443;6.33923;14.5393;7.52741;14.0371;0.00952611;1.94665e+10;
2;16384;16384;estimate;par;44.214;2.04251;42.1714;6.33989;14.4784;7.29374;14.0594;0.00961373;1.94665e+10;
2;16384;16384;estimate;par;44.4243;2.09281;42.3314;6.37125;14.4636;7.47897;14.0176;0.00961499;1.94665e+10;
2;16384;16384;estimate;par;44.687;2.11564;42.5712;6.34028;14.5322;7.66119;14.0375;0.010121;1.94665e+10;
2;16384;16384;estimate;par;44.5576;2.09934;42.4582;6.34232;14.4903;7.58878;14.0368;0.00957491;1.94665e+10;
2;16384;16384;estimate;par;44.6774;2.1235;42.5538;6.39917;14.5194;7.59906;14.0362;0.00966351;1.94665e+10;
2;16384;16384;estimate;par;44.5238;2.10595;42.4178;6.30436;14.4532;7.62821;14.032;0.00950691;1.94665e+10;
2;16384;16384;estimate;par;44.5226;2.11329;42.4093;6.35605;14.5044;7.51796;14.0308;0.00957761;1.94665e+10;
2;16384;16384;estimate;par;44.4199;2.09874;42.3211;6.40463;14.508;7.38277;14.0257;0.00940839;1.94665e+10;
2;16384;16384;estimate;par;44.5958;2.08584;42.5099;6.34188;14.4986;7.64378;14.0257;0.00954721;1.94665e+10;
2;16384;16384;estimate;par;44.5703;2.10095;42.4693;6.34486;14.4919;7.59615;14.0364;0.00939607;1.94665e+10;
2;16384;16384;estimate;par;44.6393;2.1011;42.5381;6.46225;14.5293;7.53163;14.015;0.00959061;1.94665e+10;
2;16384;16384;estimate;par;44.5594;2.09996;42.4593;6.32317;14.5015;7.61779;14.0168;0.00956513;1.94665e+10;
2;16384;16384;estimate;par;44.4992;2.09466;42.4044;6.36919;14.5337;7.48183;14.0197;0.00954819;1.94665e+10;
2;16384;16384;estimate;par;44.4789;2.09146;42.3873;6.31485;14.4789;7.57413;14.0195;0.00952063;1.94665e+10;
