n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;plan_flops;
8;16384;16384;estimate;0.0147192;10.5907;1.27229e+10;
8;16384;16384;estimate;0.0145665;10.8274;1.27229e+10;
8;16384;16384;estimate;0.0148152;10.8433;1.27229e+10;
8;16384;16384;estimate;0.0147406;10.7629;1.27229e+10;
8;16384;16384;estimate;0.0146392;10.989;1.27229e+10;
8;16384;16384;estimate;0.014779;10.8896;1.27229e+10;
8;16384;16384;estimate;0.0144869;10.8932;1.27229e+10;
8;16384;16384;estimate;0.014871;10.7547;1.27229e+10;
8;16384;16384;estimate;0.0147585;11.009;1.27229e+10;
8;16384;16384;estimate;0.0144366;10.8754;1.27229e+10;
8;16384;16384;estimate;0.0146227;10.6093;1.27229e+10;
8;16384;16384;estimate;0.0147006;10.9068;1.27229e+10;
8;16384;16384;estimate;0.014523;10.8555;1.27229e+10;
8;16384;16384;estimate;0.0147799;10.7346;1.27229e+10;
8;16384;16384;estimate;0.014634;10.9316;1.27229e+10;
8;16384;16384;estimate;0.0149714;10.9314;1.27229e+10;
8;16384;16384;estimate;0.0148798;10.8473;1.27229e+10;
8;16384;16384;estimate;0.0146972;10.9944;1.27229e+10;
8;16384;16384;estimate;0.0151065;10.8013;1.27229e+10;
8;16384;16384;estimate;0.0149169;10.8819;1.27229e+10;
8;16384;16384;estimate;0.0148217;10.8037;1.27229e+10;
8;16384;16384;estimate;0.0147318;10.7789;1.27229e+10;
8;16384;16384;estimate;0.0147167;10.8769;1.27229e+10;
8;16384;16384;estimate;0.0149696;10.9552;1.27229e+10;
8;16384;16384;estimate;0.0146259;10.7694;1.27229e+10;
8;16384;16384;estimate;0.0146864;10.9114;1.27229e+10;
8;16384;16384;estimate;0.0145726;10.7558;1.27229e+10;
8;16384;16384;estimate;0.0143968;10.7943;1.27229e+10;
8;16384;16384;estimate;0.0145803;10.6982;1.27229e+10;
8;16384;16384;estimate;0.0149051;10.8291;1.27229e+10;
8;16384;16384;estimate;0.0148103;10.7607;1.27229e+10;
8;16384;16384;estimate;0.0146498;10.8382;1.27229e+10;
8;16384;16384;estimate;0.0148261;10.8466;1.27229e+10;
8;16384;16384;estimate;0.0144181;10.7421;1.27229e+10;
8;16384;16384;estimate;0.0147027;10.59;1.27229e+10;
8;16384;16384;estimate;0.0148793;10.8937;1.27229e+10;
8;16384;16384;estimate;0.0146675;10.873;1.27229e+10;
8;16384;16384;estimate;0.0148624;10.847;1.27229e+10;
8;16384;16384;estimate;0.0148561;10.775;1.27229e+10;
8;16384;16384;estimate;0.0148176;10.8502;1.27229e+10;
8;16384;16384;estimate;0.015083;10.5517;1.27229e+10;
8;16384;16384;estimate;0.0150774;10.5422;1.27229e+10;
8;16384;16384;estimate;0.014916;10.7652;1.27229e+10;
8;16384;16384;estimate;0.014612;10.8584;1.27229e+10;
8;16384;16384;estimate;0.0148049;10.9584;1.27229e+10;
8;16384;16384;estimate;0.0149937;10.9162;1.27229e+10;
8;16384;16384;estimate;0.0146479;10.6506;1.27229e+10;
16;16384;16384;estimate;0.018158;5.59052;1.27229e+10;
16;16384;16384;estimate;0.018409;5.80542;1.27229e+10;
16;16384;16384;estimate;0.0188295;5.71844;1.27229e+10;
16;16384;16384;estimate;0.0195193;5.86396;1.27229e+10;
16;16384;16384;estimate;0.017955;5.73405;1.27229e+10;
16;16384;16384;estimate;0.0183354;5.73199;1.27229e+10;
16;16384;16384;estimate;0.0185639;5.85269;1.27229e+10;
16;16384;16384;estimate;0.0185429;5.74376;1.27229e+10;
16;16384;16384;estimate;0.0186351;5.60592;1.27229e+10;
16;16384;16384;estimate;0.0184124;5.61327;1.27229e+10;
16;16384;16384;estimate;0.018498;5.58215;1.27229e+10;
16;16384;16384;estimate;0.0186795;5.59695;1.27229e+10;
16;16384;16384;estimate;0.0184794;5.78305;1.27229e+10;
16;16384;16384;estimate;0.0185304;5.83139;1.27229e+10;
16;16384;16384;estimate;0.0184519;5.82923;1.27229e+10;
16;16384;16384;estimate;0.0181012;5.66355;1.27229e+10;
16;16384;16384;estimate;0.0186352;5.73717;1.27229e+10;
16;16384;16384;estimate;0.0186192;5.79171;1.27229e+10;
16;16384;16384;estimate;0.0185506;5.76723;1.27229e+10;
16;16384;16384;estimate;0.0182283;5.69481;1.27229e+10;
16;16384;16384;estimate;0.0179766;5.58692;1.27229e+10;
16;16384;16384;estimate;0.0186172;5.8499;1.27229e+10;
16;16384;16384;estimate;0.0194994;5.81594;1.27229e+10;
16;16384;16384;estimate;0.0189233;5.79908;1.27229e+10;
16;16384;16384;estimate;0.0187045;5.7054;1.27229e+10;
16;16384;16384;estimate;0.0188401;5.79578;1.27229e+10;
16;16384;16384;estimate;0.0188694;5.65646;1.27229e+10;
16;16384;16384;estimate;0.018384;5.78438;1.27229e+10;
16;16384;16384;estimate;0.0190688;5.73794;1.27229e+10;
16;16384;16384;estimate;0.0185101;5.74763;1.27229e+10;
16;16384;16384;estimate;0.0181305;5.66886;1.27229e+10;
16;16384;16384;estimate;0.0184332;5.79322;1.27229e+10;
16;16384;16384;estimate;0.0183054;5.77382;1.27229e+10;
16;16384;16384;estimate;0.0193652;5.55632;1.27229e+10;
16;16384;16384;estimate;0.0181922;5.89795;1.27229e+10;
16;16384;16384;estimate;0.0189346;5.68206;1.27229e+10;
16;16384;16384;estimate;0.0179907;5.75829;1.27229e+10;
16;16384;16384;estimate;0.0184417;5.81527;1.27229e+10;
16;16384;16384;estimate;0.0180025;5.78565;1.27229e+10;
