n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;plan_flops;
8;16384;16384;estimate;0.0157354;12.0131;1.27229e+10;
8;16384;16384;estimate;0.0157578;10.8307;1.27229e+10;
8;16384;16384;estimate;0.0155082;11.082;1.27229e+10;
8;16384;16384;estimate;0.015814;11.3745;1.27229e+10;
8;16384;16384;estimate;0.0157416;11.3305;1.27229e+10;
8;16384;16384;estimate;0.0155932;11.1374;1.27229e+10;
8;16384;16384;estimate;0.0157368;11.1168;1.27229e+10;
8;16384;16384;estimate;0.0155311;11.2079;1.27229e+10;
8;16384;16384;estimate;0.0155154;11.1515;1.27229e+10;
8;16384;16384;estimate;0.0156033;11.8194;1.27229e+10;
8;16384;16384;estimate;0.0160373;10.9572;1.27229e+10;
8;16384;16384;estimate;0.0155718;10.988;1.27229e+10;
8;16384;16384;estimate;0.0161109;11.2394;1.27229e+10;
8;16384;16384;estimate;0.0157975;10.9557;1.27229e+10;
8;16384;16384;estimate;0.0155582;10.9256;1.27229e+10;
8;16384;16384;estimate;0.0393298;10.61;1.27229e+10;
8;16384;16384;estimate;0.0155351;11.1274;1.27229e+10;
8;16384;16384;estimate;0.0155637;11.0909;1.27229e+10;
8;16384;16384;estimate;0.0156711;10.8056;1.27229e+10;
8;16384;16384;estimate;0.0159699;10.8619;1.27229e+10;
8;16384;16384;estimate;0.0157502;10.7819;1.27229e+10;
8;16384;16384;estimate;0.015725;10.7696;1.27229e+10;
8;16384;16384;estimate;0.015547;10.9564;1.27229e+10;
8;16384;16384;estimate;0.0157132;10.7554;1.27229e+10;
8;16384;16384;estimate;0.0154235;11.0736;1.27229e+10;
8;16384;16384;estimate;0.0157503;10.8313;1.27229e+10;
8;16384;16384;estimate;0.0157318;10.9222;1.27229e+10;
8;16384;16384;estimate;0.0157685;12.0035;1.27229e+10;
8;16384;16384;estimate;0.0155471;10.8376;1.27229e+10;
8;16384;16384;estimate;0.0155552;11.0945;1.27229e+10;
8;16384;16384;estimate;0.0156009;10.817;1.27229e+10;
8;16384;16384;estimate;0.0160043;11.344;1.27229e+10;
8;16384;16384;estimate;0.0156216;11.062;1.27229e+10;
8;16384;16384;estimate;0.0155466;11.22;1.27229e+10;
8;16384;16384;estimate;0.0154435;10.9993;1.27229e+10;
8;16384;16384;estimate;0.0158072;11.3313;1.27229e+10;
8;16384;16384;estimate;0.0154175;11.0327;1.27229e+10;
8;16384;16384;estimate;0.0355706;10.9317;1.27229e+10;
8;16384;16384;estimate;0.0155288;11.2;1.27229e+10;
8;16384;16384;estimate;0.0156737;11.0735;1.27229e+10;
8;16384;16384;estimate;0.0154646;11.7303;1.27229e+10;
16;16384;16384;estimate;0.0196356;6.08505;1.27229e+10;
16;16384;16384;estimate;0.0193334;6.10817;1.27229e+10;
16;16384;16384;estimate;0.0195896;5.92854;1.27229e+10;
16;16384;16384;estimate;0.0199686;6.00351;1.27229e+10;
16;16384;16384;estimate;0.019483;6.058;1.27229e+10;
16;16384;16384;estimate;0.0194132;6.02518;1.27229e+10;
16;16384;16384;estimate;0.0193447;6.14078;1.27229e+10;
16;16384;16384;estimate;0.0195392;6.01641;1.27229e+10;
16;16384;16384;estimate;0.0499964;5.93808;1.27229e+10;
16;16384;16384;estimate;0.0195262;5.93992;1.27229e+10;
16;16384;16384;estimate;0.0195635;6.09574;1.27229e+10;
16;16384;16384;estimate;0.0195767;5.8062;1.27229e+10;
16;16384;16384;estimate;0.0193673;6.02755;1.27229e+10;
16;16384;16384;estimate;0.0195119;5.91117;1.27229e+10;
16;16384;16384;estimate;0.0197298;6.01155;1.27229e+10;
16;16384;16384;estimate;0.0194183;5.98585;1.27229e+10;
16;16384;16384;estimate;0.0194895;5.99456;1.27229e+10;
16;16384;16384;estimate;0.0194591;5.85487;1.27229e+10;
16;16384;16384;estimate;0.0194336;6.08477;1.27229e+10;
16;16384;16384;estimate;0.019597;6.10474;1.27229e+10;
16;16384;16384;estimate;0.0192922;5.74122;1.27229e+10;
16;16384;16384;estimate;0.034935;5.90799;1.27229e+10;
16;16384;16384;estimate;0.0426959;5.89437;1.27229e+10;
16;16384;16384;estimate;0.0395917;5.99967;1.27229e+10;
16;16384;16384;estimate;0.0193061;5.90916;1.27229e+10;
16;16384;16384;estimate;0.0196096;5.9266;1.27229e+10;
16;16384;16384;estimate;0.03963;6.04867;1.27229e+10;
16;16384;16384;estimate;0.0394843;5.8753;1.27229e+10;
16;16384;16384;estimate;0.019629;5.94339;1.27229e+10;
16;16384;16384;estimate;0.0200345;5.89759;1.27229e+10;
16;16384;16384;estimate;0.0393903;5.90515;1.27229e+10;
16;16384;16384;estimate;0.0194667;5.88623;1.27229e+10;
16;16384;16384;estimate;0.0192529;5.87768;1.27229e+10;
16;16384;16384;estimate;0.0196661;6.05164;1.27229e+10;
16;16384;16384;estimate;0.0396185;5.92651;1.27229e+10;
16;16384;16384;estimate;0.0394414;6.00104;1.27229e+10;
16;16384;16384;estimate;0.039552;5.94029;1.27229e+10;
16;16384;16384;estimate;0.0394928;5.98136;1.27229e+10;
16;16384;16384;estimate;0.039455;6.06297;1.27229e+10;
