n_threads;n_x;n_y;plan;total;initialization;fft_2d_total;first_fftw;first_trans;second_fftw;second_trans;
2;16384;16384;estimate;4.08701;0.417671;3.66933;1.28339;0.738531;0.919445;0.727959;
4;16384;16384;estimate;2.3297;0.417434;1.91226;0.654487;0.383883;0.464222;0.409664;
4;16384;16384;estimate;2.31735;0.421225;1.89612;0.659791;0.380067;0.462782;0.39348;
4;16384;16384;estimate;2.34913;0.42191;1.92721;0.656886;0.380599;0.465562;0.424163;
4;16384;16384;estimate;2.31453;0.419303;1.89522;0.654941;0.379328;0.462778;0.398169;
4;16384;16384;estimate;2.31242;0.417572;1.89484;0.657031;0.380258;0.462879;0.394674;
4;16384;16384;estimate;2.44212;0.419026;2.02308;0.658335;0.383645;0.463921;0.51718;
4;16384;16384;estimate;2.35569;0.422039;1.93364;0.658128;0.381126;0.464278;0.430108;
4;16384;16384;estimate;2.32126;0.420748;1.90051;0.655546;0.379977;0.465526;0.399458;
4;16384;16384;estimate;2.32281;0.421317;1.90149;0.656697;0.378102;0.468138;0.39855;
4;16384;16384;estimate;2.31553;0.422022;1.8935;0.657977;0.378705;0.463242;0.393576;
4;16384;16384;estimate;2.32935;0.419262;1.91008;0.659126;0.380008;0.464141;0.406801;
4;16384;16384;estimate;2.36178;0.419173;1.9426;0.656628;0.379304;0.463942;0.442727;
4;16384;16384;estimate;2.3514;0.42154;1.92985;0.65352;0.380128;0.46553;0.430675;
4;16384;16384;estimate;2.32876;0.420465;1.90829;0.657979;0.381691;0.465591;0.40303;
4;16384;16384;estimate;2.37649;0.419264;1.95722;0.658321;0.37908;0.464241;0.455578;
4;16384;16384;estimate;2.31252;0.418017;1.89449;0.654721;0.377639;0.46279;0.399344;
4;16384;16384;estimate;2.33316;0.421012;1.91214;0.65986;0.382388;0.463321;0.406575;
4;16384;16384;estimate;2.36116;0.419591;1.94156;0.656862;0.379655;0.462833;0.442209;
4;16384;16384;estimate;2.33409;0.421115;1.91296;0.664798;0.378875;0.465017;0.404272;
4;16384;16384;estimate;2.32348;0.419557;1.90391;0.664793;0.381253;0.461958;0.395906;
4;16384;16384;estimate;2.35592;0.420481;1.93543;0.656047;0.37873;0.464319;0.43633;
4;16384;16384;estimate;2.31748;0.42101;1.89646;0.655129;0.379917;0.464312;0.397099;
4;16384;16384;estimate;2.33083;0.418537;1.91229;0.657607;0.389262;0.461011;0.404408;
4;16384;16384;estimate;2.35227;0.419858;1.93241;0.657828;0.378605;0.462481;0.433492;
4;16384;16384;estimate;2.30505;0.419571;1.88548;0.657521;0.375507;0.464714;0.387733;
4;16384;16384;estimate;2.32804;0.421697;1.90633;0.655012;0.388558;0.463827;0.398938;
4;16384;16384;estimate;2.34185;0.425109;1.91673;0.655499;0.379679;0.462439;0.419112;
4;16384;16384;estimate;2.319;0.419731;1.89926;0.659241;0.379989;0.465234;0.394799;
4;16384;16384;estimate;2.32482;0.421078;1.90373;0.659086;0.380683;0.463607;0.400355;
4;16384;16384;estimate;2.31831;0.421774;1.89653;0.654462;0.380268;0.4634;0.3984;
4;16384;16384;estimate;2.36882;0.419154;1.94966;0.656438;0.375518;0.461865;0.455835;
4;16384;16384;estimate;2.32758;0.425615;1.90196;0.656597;0.382884;0.46447;0.398007;
4;16384;16384;estimate;2.3197;0.42638;1.89331;0.656854;0.378591;0.462409;0.395453;
4;16384;16384;estimate;2.36649;0.419986;1.94649;0.657489;0.381823;0.462416;0.444761;
4;16384;16384;estimate;2.3228;0.423423;1.89937;0.656768;0.380312;0.464391;0.3979;
4;16384;16384;estimate;2.32131;0.420403;1.9009;0.656493;0.378488;0.464184;0.401735;
4;16384;16384;estimate;2.31969;0.421436;1.89825;0.65257;0.38235;0.463402;0.399927;
4;16384;16384;estimate;2.32551;0.419231;1.90628;0.660544;0.376675;0.463865;0.405192;
4;16384;16384;estimate;2.3489;0.419449;1.92945;0.660444;0.382322;0.463787;0.422893;
4;16384;16384;estimate;2.32051;0.419707;1.90079;0.656114;0.380601;0.464248;0.399832;
4;16384;16384;estimate;2.32014;0.419497;1.90064;0.660013;0.380409;0.464165;0.396053;
